,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t_subj.16,0.5552476116570049,0.020945513464897838,0.5154985475135176,0.5408856633418754,0.5546421984709683,0.5698047907314936,0.595988473182505,0.000640663333748112
t_subj.17,0.5276605843688177,0.025560904612370403,0.4811371826651793,0.5098458963089924,0.5254081572148968,0.5458747403179717,0.5785152760671629,0.001031857761194893
t_subj.18,0.6543980504315517,0.035482915892810454,0.5872362383886337,0.6306074663877644,0.6538376767757893,0.6777392236790366,0.7241526958093953,0.0008006874378567428
t_subj.19,0.5212897964231755,0.02685183666197277,0.4640469332039279,0.5044695040562336,0.5230584013564905,0.5403816100259072,0.5689299929639623,0.0007426259368914768
t_subj.21,0.4840524949887908,0.019470867180324335,0.4420482410555754,0.47170994357274854,0.48529167849387417,0.49753074474088615,0.5190476561281067,0.000562107163527045
t_subj.22,0.5920991855001245,0.030165434848164894,0.527637235799861,0.5720457180610476,0.5938561375169802,0.6136138871340954,0.6450785578329477,0.001186270969933967
t_subj.23,0.5519460935579322,0.026633581111840433,0.4949927296085145,0.5349226123636738,0.5542425984054463,0.5706991421899885,0.5980944711200531,0.0013664802496473297
t_subj.24,0.600451816993067,0.030208461738035878,0.5383128361236165,0.5808661348389657,0.6026192959123131,0.6217227967624798,0.6537140079515535,0.0013422809797810039
t_subj.25,0.9382598229364483,0.04558686219075863,0.8288562920247775,0.9136554240823231,0.9455988412505854,0.9700678488833145,1.0090917019476566,0.0018904025414186725
t_subj.26,0.5791752039707334,0.02880346818180101,0.5185986884177969,0.5607664101432743,0.5813019309835689,0.5984511151895932,0.6323024884825335,0.0008727287476351455
t_subj.27,0.7681729508382629,0.030907541931399354,0.7036861119792004,0.7480443395598064,0.7697165377221944,0.7898680893313121,0.8227408661888838,0.0010556131902762238
t_subj.28,0.6330571499357256,0.027225415032952307,0.5749258970189088,0.6151021043312441,0.6348386841281383,0.6521710543411772,0.6810751937205348,0.0010400898614478687
t_subj.29,0.5622056148013825,0.04137579120172776,0.47868369619222395,0.5346333003734274,0.5637276537499529,0.5898812593094397,0.6396174236965144,0.0010493686685394319
t_subj.30,0.4384493730496024,0.03172998807389985,0.3696682086146295,0.41827866989729184,0.43982809750345375,0.4608041789744426,0.49601860333248826,0.0011142659605114379
t_subj.31,0.5594280217394756,0.02941420901638518,0.5005413028640361,0.540103823054645,0.5596801424688224,0.5796048185764286,0.6159948679968732,0.0008402641237640921
t_subj.32,0.4267498915112667,0.031637200217709334,0.3501298103577442,0.4092162949515293,0.430387107080781,0.44869109944058777,0.47867512000416723,0.0011415838188414784
sv,0.4134522337023197,0.13627973969196075,0.0982920850144032,0.33271768006681407,0.42631498681505725,0.5076590022853489,0.6419664334434705,0.0069427767399651095
sz,0.07158038128559012,0.0533777467881527,0.0029733831991994083,0.02851914045002499,0.0602910563705249,0.10529979545052592,0.19424458449639506,0.0013256947949170756
st,0.24270929752553486,0.014231542829994703,0.2154965219448811,0.23283016130286874,0.24282092940395486,0.2523461932162569,0.2705531427421468,0.0005557670413100571
z(emp),0.48683317928671516,0.018869829921429795,0.4505829325136411,0.4738943748554256,0.48648433561951454,0.4995822894265368,0.5240962613191651,0.000860207353543879
z(empego),0.49510522711725824,0.021493378997148156,0.45393328602629746,0.4801177560755315,0.49511970206009326,0.50946138278941,0.5371769523182867,0.001191305178089188
z_std,0.2599895879062896,0.033221483998290495,0.19387907565347268,0.23840818033383165,0.2599738420698899,0.28209787893918314,0.32393770821516854,0.0016362441073491847
z_subj(emp).0,0.4598347661914564,0.04853388314614663,0.3665485801364649,0.4264342992219952,0.45857649674885786,0.4929800909323369,0.5562277116952495,0.001442418254508524
z_subj(emp).1,0.5353935359775064,0.054316190101918564,0.43293055826896165,0.49819203483612423,0.5340568798829773,0.5725143071397925,0.6420412768698666,0.0018359163784089777
z_subj(emp).2,0.4852855850340071,0.0558220789035614,0.3776382481964561,0.44763861341671063,0.4843731012035704,0.5239004257122584,0.5962315851777726,0.0017632511456471059
z_subj(emp).4,0.4681077129620469,0.05137110175661736,0.36839384537143566,0.4330821434967728,0.4675000960863817,0.5027151832187771,0.5697482866819777,0.0015143874016978077
z_subj(emp).5,0.5190416341610466,0.06292461239768912,0.39922617406775357,0.47638348994729074,0.5170630917304663,0.5618367040024516,0.6474245181330129,0.0021859139282014812
z_subj(emp).6,0.5564915296536393,0.04975357445000966,0.458761036605904,0.5233909870499217,0.5562533665494294,0.5887776451473472,0.656429575313861,0.0015453251514051982
z_subj(emp).7,0.45166190614063323,0.044804620748800955,0.36453362885642726,0.4204240253776978,0.4512298673690472,0.48231097814149715,0.5400501767982104,0.000895823210848834
z_subj(emp).8,0.3706014697291143,0.04419131644280327,0.2870477527483119,0.3395917235283909,0.36977525112249165,0.40044933122696375,0.45806519744475926,0.001081353856553182
z_subj(emp).9,0.48191771194521466,0.049646124653251855,0.3889354966628182,0.44759351832506594,0.4807722759059223,0.5151136430454792,0.5832300374997579,0.0013103538598801634
z_subj(emp).10,0.5396301804043602,0.050084373154577845,0.4424976992277444,0.5050022534867932,0.5396293718862539,0.5747242183774488,0.6341603960443075,0.0015658260937123387
z_subj(emp).11,0.519476723930839,0.048446409858243146,0.4258501656573251,0.4862459100189333,0.5195433096168125,0.5522870056505959,0.6143254208017179,0.0013229717667611672
z_subj(emp).12,0.5279584417732981,0.05179252072667499,0.42682861877946604,0.4925453389921898,0.5275974273741634,0.5640489986119126,0.6274729937543123,0.0017384363693816734
z_subj(emp).13,0.5047148722110243,0.049548993902764626,0.4106121050306905,0.4708132140666979,0.5046116477736777,0.5388219843715827,0.600162391352667,0.0015138554777428283
z_subj(emp).14,0.5685431274829843,0.0543850185666471,0.4609389260606719,0.5317662264877251,0.5675670910965729,0.6056505735909314,0.6758025261561016,0.001797233655209566
z_subj(emp).15,0.39688940781845655,0.04037694391246351,0.31982194395785907,0.3689771425316962,0.39637484584762495,0.4236577351422331,0.47790485977397995,0.0008824914860652733
z_subj(emp).16,0.4057603676980615,0.04758531908355334,0.31514906770810125,0.3736798433368064,0.40377821887768434,0.4376417413481511,0.5004757985130961,0.0011450203076563512
z_subj(emp).17,0.4973107923633113,0.04713092515234297,0.4084220376064379,0.4653689990551503,0.4971255434157466,0.5289333185208306,0.591411586527564,0.0013368525097923563
z_subj(emp).18,0.4377537478691175,0.041300696518502156,0.35812005485964604,0.4098043699890078,0.4371596863718633,0.46548269468440584,0.5198488509379566,0.0009053444366708977
z_subj(emp).19,0.3014411847984069,0.03957539591913298,0.2286246412960997,0.2740219612556019,0.3001078684107888,0.32867087033691894,0.3816400087804014,0.0011931035246427154
z_subj(emp).21,0.4489992270377911,0.044760471883205186,0.35942794859263527,0.41965573288456226,0.44825097015084253,0.4785529378628775,0.538107725667025,0.0010306474132226954
z_subj(emp).22,0.5795945916147318,0.06142666719606306,0.4647254744044463,0.5363100297301306,0.5783188545346801,0.6203755828095749,0.705088083102279,0.0025452407002408612
